"제목","입력날짜","수정날짜","사용여부","게시물번호(pk)","상세정보링크"
"마포자원회수시설을다녀와서","2006-08-31 09:19:54.0","2006-08-31 09:20:03.0","Y","205","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=205"
"서울백석초등학교 4학년 3반","2006-08-31 09:19:06.0","2006-08-31 09:19:18.0","Y","204","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=204"
"자원회수시설을 견학하고","2006-08-31 09:17:50.0","2006-08-31 09:18:02.0","Y","203","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=203"
"자원회수시설을 다녀와서","2006-08-31 09:13:45.0","2006-08-31 09:16:40.0","Y","202","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=202"
"6월15일 서울 오류 초등 학교 관람후기 - 감동적입니다. !! ","2006-08-31 09:11:44.0","2006-08-31 09:15:36.0","Y","201","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=201"
"일본 도야마현의회 의원 방문단","2006-08-19 11:13:57.0","","Y","181","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=181"
"마포자원회수시설을 보고","2006-08-10 19:15:13.0","2006-08-12 18:27:27.0","Y","161","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=161"
"견학후기","2006-07-26 18:37:44.0","","Y","141","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=141"
"인도 방문단 견학 후기","2006-07-24 11:36:04.0","","Y","121","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=121"
"견학후기","2006-05-13 19:42:40.0","","Y","101","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=101"
