"제목","입력날짜","수정날짜","사용여부","게시물번호(pk)","상세정보링크"
"양천자원회수시설을 다녀와서","2008-07-01 15:11:00.0","","Y","1101","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1101"
"자원순환테마전시관 체험후기....","2008-01-26 00:37:21.0","","Y","1081","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1081"
"준혁이의 에코스쿨 ","2008-01-21 23:26:40.0","2008-01-22 09:10:22.0","Y","1041","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1041"
"상암동 시설  견학다녀와서","2008-01-15 18:33:10.0","","Y","1021","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1021"
"자원순환테마전시관을 다녀와서.....","2007-10-11 12:43:08.0","2007-10-11 12:44:27.0","Y","1001","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1001"
"[노원]활동후기","2007-06-06 22:07:15.0","2007-06-06 22:07:34.0","Y","921","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=921"
"견학 후기 입니다.","2007-06-05 23:04:42.0","","Y","901","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=901"
"마포자원회수시설을 다녀와서","2007-05-23 17:31:01.0","","Y","881","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=881"
"환경오염이 싫다구요?","2007-04-10 16:18:44.0","","Y","841","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=841"
"어른에게 더 필요한 견학입니다.","2007-04-09 01:04:42.0","2007-04-09 01:05:57.0","Y","821","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=821"
"4월7일CA견학후기","2007-04-07 22:12:43.0","","Y","801","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=801"
